model num,web,"theta(0,0)","theta(0,1)","theta(0,2)","theta(0,3)","theta(1,0)","theta(1,1)","theta(1,2)","theta(1,3)",fibers,seed,iso
64,2.43411131,67.87134315,67.87134315,67.87134315,67.87134315,67.87134315,67.87134315,67.87134315,67.87134315,TRUE,0.5,0.5
65,1.215133983,11.95851849,11.95851849,11.95851849,11.95851849,11.95851849,11.95851849,11.95851849,11.95851849,TRUE,0.5,0.5
66,2.98312358,99.83082492,99.83082492,99.83082492,99.83082492,99.83082492,99.83082492,99.83082492,99.83082492,TRUE,0.5,0.5
67,2.800419296,137.1415513,137.1415513,137.1415513,137.1415513,137.1415513,137.1415513,137.1415513,137.1415513,TRUE,0.5,0.5
68,1.900847498,140.7113471,140.7113471,140.7113471,140.7113471,140.7113471,140.7113471,140.7113471,140.7113471,TRUE,0.5,0.5
69,1.085834814,10.06149687,10.06149687,10.06149687,10.06149687,10.06149687,10.06149687,10.06149687,10.06149687,TRUE,0.5,0.5
70,2.043736012,98.51239637,98.51239637,98.51239637,98.51239637,98.51239637,98.51239637,98.51239637,98.51239637,TRUE,0.5,0.5
71,1.370455691,38.38307852,38.38307852,38.38307852,38.38307852,38.38307852,38.38307852,38.38307852,38.38307852,TRUE,0.5,0.5
72,2.374567705,1.226026374,1.226026374,1.226026374,1.226026374,1.226026374,1.226026374,1.226026374,1.226026374,TRUE,0.5,0.5
73,1.89221211,20.9746742,20.9746742,20.9746742,20.9746742,20.9746742,20.9746742,20.9746742,20.9746742,TRUE,0.5,0.5
74,1.331183254,134.5338721,134.5338721,134.5338721,134.5338721,134.5338721,134.5338721,134.5338721,134.5338721,TRUE,0.5,0.5
75,1.87119782,173.3435914,173.3435914,173.3435914,173.3435914,173.3435914,173.3435914,173.3435914,173.3435914,TRUE,0.5,0.5
76,2.537605148,153.1763888,153.1763888,153.1763888,153.1763888,153.1763888,153.1763888,153.1763888,153.1763888,TRUE,0.5,0.5
77,2.184585767,116.3064506,116.3064506,116.3064506,116.3064506,116.3064506,116.3064506,116.3064506,116.3064506,TRUE,0.5,0.5
